food,Energy,Protein,Total lipid (fat),Protein_per_100Cal,Fat_per_100Cal,category
"Almond butter, creamy",623.9830380000001,20.78734,53.04,3.3313950434659088,8.500231059165424,Nuts
"Almond milk, unsweetened, plain, refrigerated",19.33,0.65625,1.558,3.394981893429902,8.060010346611486,Nuts
"Almond milk, unsweetened, plain, shelf stable",14.5562,0.5546875,1.221,3.810661436363886,8.388178233330128,Nuts
"Anchovies, canned in olive oil, with salt, drained",206.065,26.9375,9.853285714285716,13.07233154587145,4.781639635205258,Other
"Apple juice, with added vitamin C, from concentrate, shelf stable",47.804057,0.0859375,0.2863,0.1797703069427768,0.5989031433043435,Other
"Apples, fuji, with skin, raw",62.172792,0.14921875,0.16125,0.2400065128167318,0.2593578232742065,Other
"Apples, gala, with skin, raw",58.564093,0.13140625,0.15,0.2243802358554413,0.2561296390264253,Other
"Apples, granny smith, with skin, raw",56.565997,0.2678125,0.13875,0.4734513916549548,0.2452887023276545,Other
"Apples, honeycrisp, with skin, raw",57.613445,0.10078125,0.1,0.1749266165215428,0.1735705962384301,Other
"Apples, red delicious, with skin, raw",59.482409,0.18875,0.21125,0.3173207056896435,0.3551470149771507,Other
"Applesauce, unsweetened, with added vitamin C",49.0115,0.2734375,0.1625,0.5579047774501903,0.3315548391703988,Other
"Apricot, with skin, raw",45.962075,0.96125,0.405,2.0913981799124604,0.8811612617576557,Other
"Arugula, baby, raw",28.45042625,1.64875,0.315,5.795168007368607,1.1071890355245555,Other
"Asparagus, green, raw",25.8153575,1.4375,0.2163,5.568390830923027,0.837873347289496,Other
"Avocado, Hass, peeled, raw",214.69165,1.8125,20.31,0.8442340445005662,9.460079141410482,Other
"Bananas, overripe, raw",82.33333333333333,0.73,0.22,0.8866396761133603,0.2672064777327935,Other
"Bananas, ripe and slightly ripe, raw",94.33333333333331,0.74,0.29,0.7844522968197881,0.3074204946996467,Other
"Beans, black, canned, sodium added, drained and rinsed",116.821665,6.9125,1.273,5.917138743057634,1.0896951348878652,Other
"Beans, cannellini, canned, sodium added, drained and rinsed",113.7711,7.4125,1.169,6.515274968775023,1.027501711770388,Other
"Beans, cannellini, dry",340.909095,21.5625,2.199,6.324999924100001,0.64503999225952,Other
"Beans, great northern, canned, sodium added, drained and rinsed",115.248435,7.03125,1.266,6.10095052483793,1.0984964784988187,Other
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",124.89741,7.8,1.256,6.245125499399868,1.0056253368264405,Other
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",125.108295,7.30625,1.299,5.839940509140502,1.038300458015194,Other
"Beans, navy, canned, sodium added, drained and rinsed",117.308325,6.56875,1.398,5.599559963029051,1.1917312773837665,Other
"Beans, pinto, canned, sodium added, drained and rinsed",115.083375,6.69375,1.266,5.816435258350738,1.1000720130079604,Other
"Beans, snap, green, canned, regular pack, drained solids",21.666666666666668,1.04,0.39,4.8,1.7999999999999998,Other
"Beans, snap, green, raw",36.78387325,1.96875,0.275,5.352209612673129,0.7476102316114849,Other
"Beef, chuck, roast, boneless, choice, raw",234.400847,18.4,17.8,7.849800986427323,7.59382921513078,Other
"Beef, flank, steak, boneless, choice, raw",166.731272,20.13125,9.399,12.074069704212418,5.637214835139026,Other
"Beef, ground, 80% lean meat / 20% fat, raw",245.2113375,17.53125,19.44,7.14944511894765,7.927855293395641,Other
"Beef, ground, 90% lean meat / 10% fat, raw",187.4998095,18.15625,12.85,9.683343171609996,6.853340296327075,Other
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",173.33333333333334,27.7,6.36,15.980769230769228,3.669230769230769,Other
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",153.0,22.8,6.39,14.901960784313726,4.176470588235294,Other
"Beef, ribeye, steak, boneless, choice, raw",256.8607125,18.74375,20.04,7.297242858812051,7.801893798764574,Other
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",120.0,23.4,2.48,19.5,2.0666666666666664,Other
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",120.66666666666669,23.7,2.41,19.64088397790055,1.997237569060773,Other
"Beef, round, top round, boneless, choice, raw",143.535775,21.475,5.703,14.961426863790578,3.97322549030024,Other
"Beef, short loin (NY strip steak), raw",193.024697,21.325,11.535555555555554,11.04780907906308,5.976207052694171,Other
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",143.0,22.7,5.32,15.874125874125877,3.72027972027972,Other
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",216.66666666666663,27.3,11.4,12.600000000000003,5.261538461538462,Other
"Beef, top sirloin steak, raw",143.153535,21.975,5.707555555555556,15.350651312941732,3.987016845623516,Other
"Beef, tenderloin steak, raw",146.1005,21.09375,6.456222222222222,14.437835599467489,4.419028149953095,Other
"Beet greens, raw",26.367,1.609375,0.1519714285714286,6.103747108127584,0.576369812915495,Other
"Beets, raw",42.7928775,1.6875,0.2917857142857142,3.943413246748831,0.6818557931415437,Other
"Bison, ground, raw",161.6292895,19.88125,8.879999999999999,12.300524280903929,5.49405372471182,Other
"Blackeye pea, canned, sodium added, drained and rinsed",114.4550415,6.925,1.296,6.0504106321957,1.1323223363647117,Other
"Blackeye pea, dry",349.79265,21.225,2.419,6.067880500061966,0.6915525526336818,Other
"Blueberries, raw",60.6204605,0.703125,0.3063,1.1598806643839337,0.5052749475566917,Other
"Bread, white, commercially prepared",269.0,9.43,3.59,3.505576208178439,1.3345724907063197,Other
"Bread, whole-wheat, commercially prepared",254.0,12.3,3.55,4.84251968503937,1.3976377952755905,Cereals
"Broccoli, raw",33.5,2.57,0.34,7.671641791044776,1.0149253731343284,Other
"Brussels sprouts, raw",54.131853125,3.984375,0.565,7.360499908989583,1.0437477518002485,Other
"Buckwheat, whole grain",343.8677603,11.06534,3.039,3.217905624634972,0.8837699694058817,Other
"Bulgur, dry, raw",360.82136125,11.75625,2.421222222222222,3.2581912443522216,0.6710307321701626,Other
"Buttermilk, low fat",42.8765181,3.464978,1.081,8.08129520200009,2.521193529471788,Other
"Cabbage, bok choy, raw",18.63111375,1.02375,0.2338,5.494840586220992,1.254890089434401,Other
"Cabbage, green, raw",29.6485,0.96125,0.2275,3.242153903232879,0.7673238106480936,Other
"Cabbage, red, raw",31.998818,1.2425,0.2138,3.882955926684542,0.6681496797787968,Other
"Carrots, baby, raw",39.5116415,0.805,0.1375,2.0373742255178136,0.3479987031163967,Other
"Carrots, frozen, unprepared",37.66666666666666,0.81,0.47,2.1504424778761067,1.2477876106194692,Other
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",37.0,0.81,0.47,2.189189189189189,1.2702702702702702,Other
"Carrots, mature, raw",46.4845945,0.94125,0.3506,2.02486438813616,0.754228371294064,Other
"Cauliflower, raw",25.222338875,1.640625,0.2375,6.504650532731375,0.9416256009287324,Other
"Celery, raw",15.764729374999998,0.4921875,0.1625,3.1220802355194257,1.0307820460127628,Other
"Cheese, American, restaurant",374.3333333333333,17.5,31.1,4.674977738201247,8.308103294746216,Other
"Cheese, cheddar",408.3333333333333,23.3,34.0,5.706122448979592,8.326530612244898,Other
"Cheese, cotija, solid",351.580536,23.83568,27.24,6.779578946884592,7.747869182382725,Other
"Cheese, cottage, lowfat, 2% milkfat",83.33333333333333,11.0,2.3,13.2,2.76,Other
"Cheese, dry white, queso seco",325.6666666666667,24.5,24.3,7.523029682702149,7.461617195496418,Other
"Cheese, feta, whole milk, crumbled",273.178249,19.70782,19.07611111111111,7.214271294344522,6.983027082478705,Other
"Cheese, monterey jack, solid",391.233795,22.6171,32.63,5.78096787369813,8.34028154444071,Other
"Cheese, mozzarella, low moisture, part-skim",297.3333333333333,23.7,20.4,7.97085201793722,6.860986547085202,Other
"Cheese, oaxaca, solid",297.60094100000003,22.14498,22.1,7.441165987442224,7.426051787920926,Other
"Cheese, parmesan, grated",420.3333333333333,29.6,28.0,7.04203013481364,6.661379857256146,Other
"Cheese, parmesan, grated, refrigerated",404.073709,30.13912,29.49777777777778,7.458817371362311,7.300098254543401,Other
"Cheese, pasteurized process cheese food or product, American, singles",308.831935,15.5672,23.86,5.04067042160002,7.725884954222756,Other
"Cheese, pasteurized process, American, vitamin D fortified",366.6666666666667,18.0,30.6,4.909090909090909,8.345454545454544,Other
"Cheese, provolone, sliced",356.847036,23.45288,28.13,6.572250189574225,7.882929424135668,Other
"Cheese, queso fresco, solid",297.51243,18.8848,23.36,6.347566721834109,7.851772781392697,Other
"Cheese, ricotta, whole milk",157.33333333333334,7.81,11.0,4.963983050847457,6.991525423728813,Other
"Cheese, swiss",393.0,27.0,31.0,6.870229007633588,7.888040712468193,Other
"Cherries, sweet, dark red, raw",66.91663750000001,1.039375,0.1925,1.5532385350354758,0.2876713582627339,Other
"Chia seeds, dry, raw",503.62476,17.013,32.89,3.3781103216609134,6.530655879587812,Other
"Chicken, breast, boneless, skinless, raw",109.118135,22.525,1.934,20.64276483464458,1.7723909962354103,Poultry & Fish
"Chicken, breast, meat and skin, raw",129.87045,21.40625,4.776714285714285,16.482771869967337,3.678060933579799,Poultry & Fish
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",163.33333333333334,32.1,3.24,19.6530612244898,1.9836734693877551,Poultry & Fish
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",153.66666666666666,23.9,5.95,15.553145336225596,3.872017353579176,Poultry & Fish
"Chicken, drumstick, meat and skin, raw",127.553172,18.35625,5.94,14.391057244738686,4.656881445488475,Poultry & Fish
"Chicken, ground, with additives, raw",135.589147,17.9125,7.161,13.21086561596261,5.281396157761801,Poultry & Fish
"Chicken, thigh, boneless, skinless, raw",146.6882375,18.6125,7.916,12.688474766083408,5.396479046249363,Poultry & Fish
"Chicken, thigh, meat and skin, raw",190.3388595,17.10625,13.3525,8.987260953930429,7.015120314934952,Poultry & Fish
"Chicken, wing, meat and skin, raw",170.1710625,18.40625,10.643333333333334,10.81632195838232,6.254490732425986,Poultry & Fish
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",135.096,7.01875,3.096,5.195379581926926,2.291703677384971,Other
"Chickpeas, (garbanzo beans, bengal gram), dry",377.496345,21.275,6.274,5.635816156047815,1.6620028466765684,Other
"Cod, Pacific or Alaskan, frozen, wild caught",60.84,14.2,0.216,23.339907955292567,0.3550295857988165,Poultry & Fish
"Collards, raw",42.82604125,2.96875,0.77,6.932113997345015,1.7979714620482228,Other
"Cookies, oatmeal, soft, with raisins",430.0,5.79,14.3,1.3465116279069769,3.3255813953488373,Other
"Corn flour, masa harina, white or yellow, dry, raw",371.049055,7.5625,4.34,2.0381402130238544,1.1696566643998054,Cereals
"Corn, sweet, yellow and white kernels,  fresh, raw",78.703828125,2.789375,1.626,3.544141455952845,2.0659732045276544,Cereals
"Cottage cheese, full fat, large or small curd",103.747687,11.62436,4.225,11.204452201425944,4.072379946166896,Other
"Cranberry juice, not fortified, from concentrate, shelf stable",31.6956375,,0.3375,,1.0648153077848648,Other
"Cream cheese, full fat, block",339.76303,5.78985,33.49,1.7040847557781669,9.856869948446128,Other
"Cream, heavy",339.6016613,2.017994,35.56,0.594223830435661,10.471091296749202,Other
"Cream, sour, full fat",194.5792858,3.070694,17.99,1.5781196787597622,9.245588463353275,Other
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",83.5073075,18.65,0.8075,22.333374836687195,0.9669812429289496,Other
"Crustaceans, shrimp, farm raised, raw",73.5629665,15.56875,0.8013,21.16384199922117,1.0892709173167996,Poultry & Fish
"Cucumber, with peel, raw",14.9212125,0.625,0.1775,4.188667643463962,1.189581610743765,Other
"Egg, white, dried",367.3333333333333,79.9,0.65,21.751361161524503,0.1769509981851179,Poultry & Fish
"Egg, white, raw, frozen, pasteurized",47.0,10.1,0.16,21.48936170212766,0.3404255319148936,Poultry & Fish
"Egg, whole, dried",569.6666666666666,48.1,39.8,8.443534230544179,6.986541837331773,Poultry & Fish
"Egg, whole, raw, frozen, pasteurized",148.66666666666666,12.3,10.3,8.273542600896862,6.928251121076235,Poultry & Fish
"Egg, yolk, dried",649.6666666666666,34.2,55.5,5.264238070805543,8.542842483324781,Poultry & Fish
"Egg, yolk, raw, frozen, pasteurized",294.6666666666667,15.6,25.1,5.294117647058823,8.518099547511312,Poultry & Fish
"Eggplant, raw",24.221682625,0.851875,0.12,3.516993485501093,0.4954238805694862,Other
"Eggs, Grade A, Large, egg white",54.0,10.7,0.0,19.814814814814813,0.0,Poultry & Fish
"Eggs, Grade A, Large, egg whole",146.0,12.4,9.96,8.493150684931507,6.821917808219179,Poultry & Fish
"Eggs, Grade A, Large, egg yolk",332.0,16.2,28.8,4.879518072289157,8.674698795180722,Poultry & Fish
"Einkorn, grain, dry, raw",357.53159195,15.11719,3.811,4.2282109722248284,1.065919791651016,Other
"Farro, pearled, dry, raw",355.5079982,12.63944,3.1241250000000003,3.5553180417868866,0.8787776972158148,Other
"Fennel, bulb, raw",26.8924,0.921875,0.1416666666666666,3.4280131189481047,0.5267907165841152,Other
"Figs, dried, uncooked",258.3333333333333,3.3,0.92,1.2774193548387098,0.3561290322580646,Other
"Fish, catfish, farm raised, raw",131.4499485,16.46875,7.308,12.528532865876322,5.559530515905832,Poultry & Fish
"Fish, cod, Atlantic, wild caught, raw",68.23128249999999,16.06875,0.6675,23.550414723627693,0.9782902732335422,Poultry & Fish
"Fish, haddock, raw",72.33333333333333,16.3,0.45,22.53456221198157,0.6221198156682028,Poultry & Fish
"Fish, pollock, raw",55.0,12.3,0.41,22.363636363636367,0.7454545454545454,Poultry & Fish
"Fish, salmon, Atlantic, farm raised, raw",200.20016,20.31875,13.11,10.149217662962908,6.548446314928019,Poultry & Fish
"Fish, salmon, sockeye, wild caught, raw",133.10300999999998,22.3,4.936,16.7539411768374,3.708405993222844,Poultry & Fish
"Fish, tilapia, farm raised, raw",97.308135,19.0,2.479,19.52560286968813,2.547577342839836,Poultry & Fish
"Fish, tuna, light, canned in water, drained solids",88.33333333333333,19.0,0.94,21.50943396226415,1.0641509433962264,Poultry & Fish
"Flaxseed, ground",529.763715,18.0359,37.28,3.404517804697137,7.037099549182978,Other
"Flour, 00",361.337772,11.4,1.52,3.1549427940791097,0.4206590392105478,Other
"Flour, almond",599.83368,26.24375,50.23,4.375171130770783,8.373987936122559,Nuts
"Flour, amaranth",381.01845,13.2093,6.236,3.466839991606706,1.6366661509436091,Other
"Flour, barley",361.860914,8.72168,2.45,2.410229915021991,0.6770557153901403,Cereals
"Flour, bread, white, enriched, unbleached",366.0,14.3,1.65,3.9071038251366126,0.4508196721311475,Other
"Flour, buckwheat",346.1348014,8.88492,2.484,2.5668958926012224,0.7176394832166679,Other
"Flour, cassava",357.963030375,0.918225,0.4938,0.2565139196184792,0.1379472063030358,Other
"Flour, chestnut",384.62643,5.28675,4.636,1.374515526663105,1.20532538546558,Other
"Flour, coconut",430.655685,16.1385,15.28,3.747425277806329,3.548078089344159,Other
"Flour, corn, yellow, fine meal, enriched",366.6666666666667,6.2,1.74,1.690909090909091,0.4745454545454545,Cereals
"Flour, oat, whole grain",387.7771375,13.16875,6.309,3.395958329286496,1.6269654370740203,Cereals
"Flour, pastry, unenriched, unbleached",361.3333333333333,8.75,1.64,2.421586715867159,0.4538745387453874,Other
"Flour, potato",356.7313485,8.1125,0.9512555555555556,2.2741202964392686,0.2666588062853006,Other
"Flour, quinoa",381.7955075,11.92235,6.601,3.122705680343816,1.7289360064038992,Cereals
"Flour, rice, brown",366.0833333333333,7.19,3.85,1.9640336899613025,1.0516731163214206,Cereals
"Flour, rice, glutinous",361.3333333333333,6.69,1.16,1.851476014760148,0.3210332103321033,Cereals
"Flour, rice, white, unenriched",362.3333333333333,6.94,1.3,1.9153633854645813,0.358785648574057,Cereals
"Flour, rye",355.181019,8.3952,1.908,2.3636398205164224,0.5371908682991868,Cereals
"Flour, semolina, coarse and semi-coarse",360.81143325,11.73125,1.597,3.2513520689549824,0.4426134686517725,Other
"Flour, semolina, fine",361.88345625,13.33125,1.838,3.683851740044832,0.5078983214779109,Other
"Flour, sorghum",369.39452085,8.27277,3.586,2.239548648681588,0.9707777992343766,Other
"Flour, soy, defatted",357.0,51.1,3.33,14.313725490196076,0.9327731092436976,Soya
"Flour, soy, full-fat",441.6666666666667,38.6,20.7,8.739622641509435,4.686792452830188,Soya
"Flour, spelt, whole grain",352.13105,14.475,2.543,4.110685496209436,0.7221743154998685,Other
"Flour, wheat, all-purpose, enriched, bleached",369.0,10.9,1.48,2.953929539295393,0.4010840108401084,Cereals
"Flour, wheat, all-purpose, enriched, unbleached",361.3333333333333,13.1,1.48,3.625461254612546,0.4095940959409594,Cereals
"Flour, wheat, all-purpose, unenriched, unbleached",364.6666666666667,12.0,1.7,3.290676416819013,0.4661791590493601,Cereals
"Flour, whole wheat, unenriched",362.0,15.1,2.73,4.171270718232043,0.7541436464088397,Cereals
"Fonio, grain, dry, raw",373.01205125,7.16875,1.692875,1.9218547969098627,0.4538392243164824,Other
"Frankfurter, beef, unheated",312.6666666666667,11.7,28.0,3.742004264392324,8.955223880597014,Other
